AGEP,COW,MAR,SCHL,SEX,WKHP,WKWN,ESR,OCCP,PERNP,OCCP_GROUP,COW_GROUP,HIGH_EARNER
43,1.0,1,16.0,1,40.0,52.0,1.0,8610.0,30000.0,Production_Manufacturing,Private_ForProfit,0
48,4.0,1,21.0,1,36.0,52.0,1.0,3255.0,95000.0,Healthcare,State_Gov,1
63,1.0,1,20.0,1,45.0,52.0,1.0,7150.0,89000.0,Installation_Maintenance_Repair,Private_ForProfit,0
31,2.0,1,18.0,2,40.0,52.0,1.0,3602.0,28000.0,Healthcare,Private_NonProfit,0
30,1.0,1,16.0,2,40.0,52.0,1.0,3649.0,25000.0,Healthcare,Private_ForProfit,0
38,1.0,1,21.0,1,50.0,52.0,1.0,220.0,125000.0,Management_Business_Finance,Private_ForProfit,1
26,1.0,1,16.0,1,40.0,52.0,1.0,9620.0,40300.0,Transportation_Material_Moving,Private_ForProfit,0
56,7.0,3,23.0,2,80.0,52.0,1.0,2100.0,110000.0,Education_Legal_Social,Self_Employed_Inc,1
68,1.0,1,19.0,1,40.0,52.0,1.0,5600.0,50000.0,Sales_Office_Admin,Private_ForProfit,0
70,1.0,1,18.0,1,40.0,52.0,1.0,5860.0,70000.0,Sales_Office_Admin,Private_ForProfit,0
27,1.0,1,21.0,2,40.0,52.0,1.0,4710.0,50000.0,Sales_Office_Admin,Private_ForProfit,0
58,2.0,5,22.0,1,50.0,52.0,1.0,350.0,180000.0,Management_Business_Finance,Private_NonProfit,1
33,6.0,1,13.0,1,40.0,52.0,1.0,6410.0,51000.0,Construction_Extraction_Farming,Self_Employed_NotInc,0
44,1.0,5,16.0,2,45.0,52.0,1.0,7800.0,28000.0,Production_Manufacturing,Private_ForProfit,0
48,5.0,1,19.0,1,50.0,52.0,1.0,3870.0,100000.0,Protective_Service,Federal_Gov,1
43,1.0,1,22.0,1,40.0,50.0,1.0,20.0,160000.0,Management_Business_Finance,Private_ForProfit,1
27,3.0,1,19.0,1,48.0,52.0,1.0,3740.0,70000.0,Protective_Service,Local_Gov,0
34,3.0,1,19.0,1,56.0,52.0,1.0,3402.0,95000.0,Healthcare,Local_Gov,1
60,1.0,1,21.0,2,40.0,52.0,1.0,800.0,57000.0,Management_Business_Finance,Private_ForProfit,0
65,4.0,1,21.0,2,45.0,52.0,1.0,2330.0,77000.0,Education_Legal_Social,State_Gov,0
50,1.0,1,21.0,2,36.0,52.0,1.0,3255.0,103000.0,Healthcare,Private_ForProfit,1
65,1.0,1,1.0,2,40.0,52.0,1.0,150.0,556000.0,Management_Business_Finance,Private_ForProfit,1
40,1.0,1,22.0,2,40.0,52.0,1.0,120.0,130000.0,Management_Business_Finance,Private_ForProfit,1
52,1.0,1,20.0,2,40.0,36.0,1.0,3245.0,74000.0,Healthcare,Private_ForProfit,0
20,1.0,5,12.0,1,40.0,30.0,1.0,6230.0,30000.0,Construction_Extraction_Farming,Private_ForProfit,0
33,1.0,1,16.0,1,40.0,52.0,1.0,9005.0,31200.0,Transportation_Material_Moving,Private_ForProfit,0
54,1.0,1,19.0,2,40.0,52.0,1.0,5522.0,105000.0,Sales_Office_Admin,Private_ForProfit,1
58,1.0,3,20.0,2,45.0,52.0,1.0,700.0,50000.0,Management_Business_Finance,Private_ForProfit,0
57,1.0,1,16.0,1,45.0,52.0,1.0,6950.0,61000.0,Construction_Extraction_Farming,Private_ForProfit,0
33,1.0,5,21.0,1,43.0,52.0,1.0,1006.0,95000.0,STEM_Science_Architecture,Private_ForProfit,1
32,1.0,5,16.0,2,47.0,52.0,1.0,5240.0,30000.0,Sales_Office_Admin,Private_ForProfit,0
50,1.0,1,21.0,2,40.0,52.0,1.0,440.0,574000.0,Management_Business_Finance,Private_ForProfit,1
37,1.0,1,16.0,1,60.0,52.0,1.0,6230.0,30000.0,Construction_Extraction_Farming,Private_ForProfit,0
30,2.0,1,21.0,2,40.0,52.0,1.0,3321.0,30000.0,Healthcare,Private_NonProfit,0
55,2.0,1,22.0,2,40.0,52.0,1.0,2205.0,55000.0,Education_Legal_Social,Private_NonProfit,0
29,1.0,5,19.0,2,40.0,52.0,1.0,750.0,36000.0,Management_Business_Finance,Private_ForProfit,0
60,3.0,1,18.0,2,40.0,50.0,1.0,2545.0,32000.0,Education_Legal_Social,Local_Gov,0
